timestamp,mem_total_mb,mem_used_mb,mem_pct,swap_total_mb,swap_used_mb,swap_pct
2026-05-16 21:41:48,7928,1688,21,8192,0,0
2026-05-16 21:41:55,7928,1675,21,8192,0,0
2026-05-16 22:41:30,7928,1278,16,8192,0,0
2026-05-16 22:41:40,7928,1271,16,8192,0,0
2026-05-16 22:41:50,7928,1269,16,8192,0,0
2026-05-16 22:42:00,7928,1270,16,8192,0,0
2026-05-16 22:42:10,7928,1275,16,8192,0,0
2026-05-16 22:42:20,7928,1279,16,8192,0,0
2026-05-16 22:42:30,7928,1298,16,8192,0,0
2026-05-16 22:42:40,7928,1284,16,8192,0,0
2026-05-16 22:42:50,7928,1284,16,8192,0,0
2026-05-16 22:43:00,7928,1287,16,8192,0,0
2026-05-16 22:43:10,7928,1287,16,8192,0,0
2026-05-16 22:43:20,7928,1299,16,8192,0,0
2026-05-16 22:43:30,7928,1309,16,8192,0,0
2026-05-16 22:43:40,7928,1294,16,8192,0,0
2026-05-16 22:43:50,7928,1294,16,8192,0,0
2026-05-16 22:44:00,7928,1294,16,8192,0,0
2026-05-16 22:44:10,7928,1294,16,8192,0,0
2026-05-16 22:44:20,7928,1295,16,8192,0,0
2026-05-16 22:44:30,7928,1295,16,8192,0,0
2026-05-16 22:44:40,7928,1296,16,8192,0,0
2026-05-16 22:44:50,7928,1296,16,8192,0,0
2026-05-16 22:45:00,7928,1311,16,8192,0,0
2026-05-16 22:45:10,7928,1305,16,8192,0,0
2026-05-16 22:45:20,7928,1322,16,8192,0,0
2026-05-16 22:45:30,7928,1323,16,8192,0,0
2026-05-16 22:45:40,7928,1328,16,8192,0,0
2026-05-16 22:45:50,7928,1340,16,8192,0,0
2026-05-16 22:46:00,7928,1324,16,8192,0,0
2026-05-16 22:46:10,7928,1334,16,8192,0,0
2026-05-16 22:46:20,7928,1337,16,8192,0,0
2026-05-16 22:46:30,7928,1338,16,8192,0,0
2026-05-16 22:46:40,7928,1351,17,8192,0,0
2026-05-16 22:46:50,7928,1331,16,8192,0,0
2026-05-16 22:47:01,7928,1332,16,8192,0,0
2026-05-16 22:47:11,7928,1337,16,8192,0,0
2026-05-16 22:47:21,7928,1345,16,8192,0,0
2026-05-16 22:47:31,7928,1347,16,8192,0,0
2026-05-16 22:47:41,7928,1347,16,8192,0,0
2026-05-16 22:47:51,7928,1348,17,8192,0,0
2026-05-16 22:48:01,7928,1347,16,8192,0,0
2026-05-16 22:48:11,7928,1347,16,8192,0,0
2026-05-16 22:48:21,7928,1352,17,8192,0,0
2026-05-16 23:08:27,7928,1306,16,8192,0,0
2026-05-16 23:08:37,7928,1263,15,8192,0,0
2026-05-16 23:08:47,7928,1262,15,8192,0,0
2026-05-16 23:08:57,7928,1263,15,8192,0,0
2026-05-16 23:09:07,7928,1276,16,8192,0,0
2026-05-16 23:09:17,7928,1297,16,8192,0,0
2026-05-16 23:09:27,7928,1282,16,8192,0,0
2026-05-16 23:09:37,7928,1302,16,8192,0,0
2026-05-16 23:09:47,7928,1308,16,8192,0,0
2026-05-16 23:09:57,7928,1308,16,8192,0,0
2026-05-16 23:10:07,7928,1309,16,8192,0,0
2026-05-16 23:10:17,7928,1309,16,8192,0,0
2026-05-16 23:10:27,7928,1290,16,8192,0,0
2026-05-16 23:10:37,7928,1309,16,8192,0,0
2026-05-16 23:10:47,7928,1296,16,8192,0,0
2026-05-16 23:10:57,7928,1297,16,8192,0,0
2026-05-16 23:11:07,7928,1297,16,8192,0,0
2026-05-16 23:11:17,7928,1296,16,8192,0,0
2026-05-16 23:11:27,7928,1297,16,8192,0,0
2026-05-16 23:11:37,7928,1298,16,8192,0,0
2026-05-16 23:11:47,7928,1318,16,8192,0,0
2026-05-16 23:11:57,7928,1317,16,8192,0,0
2026-05-16 23:12:07,7928,1318,16,8192,0,0
2026-05-16 23:12:18,7928,1318,16,8192,0,0
2026-05-16 23:12:28,7928,1318,16,8192,0,0
2026-05-16 23:12:38,7928,1318,16,8192,0,0
2026-05-16 23:12:48,7928,1318,16,8192,0,0
2026-05-16 23:12:58,7928,1289,16,8192,0,0
2026-05-16 23:13:08,7928,1294,16,8192,0,0
2026-05-16 23:13:18,7928,1301,16,8192,0,0
